title,platforms,rating,votes,developer,release_date,price,genres,url
Hentai vs. Evil PS4 & PS5,"['PS4', 'PS5']",3.99,592,EastAsiaSoft,2021-05-27,9.99,"['Action', 'Shooter']",https://store.playstation.com/en-us/concept/10002276
DCL - The Game,['PS4'],3.67,219,THQ Nordic,2020-02-18,39.99,[],https://store.playstation.com/en-us/concept/234664
Broken Lines,"['PS4', 'PS5']",3.81,27,Blowfish Studios Pty Ltd,2022-12-14,24.99,['Strategy'],https://store.playstation.com/en-us/concept/10003665
"Inescapable: No Rules, No Rescue","['PS4', 'PS5']",3.67,27,Aksys Games,2023-10-19,49.99,['Adventure'],https://store.playstation.com/en-us/concept/10006582
Stroke The Dog,"['PS4', 'PS5']",3.84,69,Game Achievements Ltd,2022-09-17,1.99,['Casual'],https://store.playstation.com/en-us/concept/10006069
Goons: Legends & Mayhem,['PS5'],3.37,35,Firestoke Group Limited,2024-04-11,19.99,"['Action', 'Adventure', 'Sport']",https://store.playstation.com/en-us/concept/10006606
Until You Fall,"['PS4', 'PS5']",4.1,1400,Schell Games LLC,2023-06-15,24.99,"['Action', 'Adventure']",https://store.playstation.com/en-us/concept/10000591
Glorious Savior,"['PS4', 'PS5']",3.94,16,KEMCO,2024-04-12,14.99,['Role Playing Games'],https://store.playstation.com/en-us/concept/10010309
John Wick Hex,['PS4'],3.77,512,Good Shepherd Entertainment,2020-05-05,19.99,['Strategy'],https://store.playstation.com/en-us/concept/235418
Super Mega Baseball 3,['PS4'],3.81,786,ELECTRONIC ARTS,2020-05-13,0.0,['Sport'],https://store.playstation.com/en-us/concept/234759
Strike Force 3,"['PS4', 'PS5']",2.19,54,DANIEL WENGENROTH,2023-09-07,19.99,"['Action', 'Shooter']",https://store.playstation.com/en-us/concept/10008534
Harmony: The Fall of Reverie,['PS5'],3.6,112,DON'T NOD ENTERTAINMENT,2023-06-22,24.99,['Casual'],https://store.playstation.com/en-us/concept/10006833
Double Dragon IV,['PS4'],3.78,924,ARC SYSTEM WORKS,2017-01-30,3.49,['Action'],https://store.playstation.com/en-us/concept/227112
Phantom Breaker: Omnia,['PS4'],4.53,251,"ROCKET PANDA GAMES, INC.",2022-03-15,19.99,['Fighting'],https://store.playstation.com/en-us/concept/10000338
Summer Games Challenge,"['PS4', 'PS5']",3.5,2,Markt+Technik Verlag GmbH,2024-05-09,19.99,"['Casual', 'Simulation', 'Sport']",https://store.playstation.com/en-us/concept/10010431
Tales of Vesperia™: Definitive Edition,['PS4'],4.73,3733,Bandai Namco Entertainment America Inc.,2019-01-11,49.99,"['Role Playing Games', 'Action', 'Role Playing Games']",https://store.playstation.com/en-us/concept/231984
Dragon Star Varnir,['PS4'],4.37,660,Idea Factory International Inc.,2019-06-11,7.49,"['Action', 'Adventure', 'Role Playing Games']",https://store.playstation.com/en-us/concept/232591
Spirit Hunters: Infinite Horde,"['PS4', 'PS5']",4.49,259,subSilico,2023-07-19,9.99,"['Action', 'Arcade']",https://store.playstation.com/en-us/concept/10006495
Bahnsen Knights,"['PS4', 'PS5']",4.11,19,Chorus Worldwide Games,2024-01-18,9.99,['Adventure'],https://store.playstation.com/en-us/concept/10007958
Garden of the Sea,['PS5'],4.3,144,NECO SOFTWARE,2023-02-22,24.99,"['Adventure', 'Casual', 'Family']",https://store.playstation.com/en-us/concept/10006345
The Myth Seekers 2: The Sunken City,"['PS4', 'PS5']",4.33,36,Artifex Mundi,2023-11-17,0.0,"['Adventure', 'Casual', 'Puzzle']",https://store.playstation.com/en-us/concept/10009024
No One Lives Under the Lighthouse,"['PS4', 'PS5']",4.45,158,Puppet Combo,2023-05-18,11.99,['Horror'],https://store.playstation.com/en-us/concept/10007269
DreamWorks Dragons Dawn of New Riders,['PS4'],3.88,192,Outright Games LLC,2019-02-15,29.99,"['Family', 'Adventure']",https://store.playstation.com/en-us/concept/232513
Tennis World Tour,['PS4'],2.95,2990,NACON SA,2018-05-22,1.99,"['Simulation', 'Sport']",https://store.playstation.com/en-us/concept/228687
Evil Inside,"['PS4', 'PS5']",3.24,475,JanduSoft S.L.,2021-03-25,12.99,"['Action', 'Horror']",https://store.playstation.com/en-us/concept/10002054
The Alliance Alive HD Remastered,['PS4'],4.43,261,NIS America Inc.,2019-10-08,49.99,['Role Playing Games'],https://store.playstation.com/en-us/concept/232388
The Bunker,"['PS4', 'PS5']",3.77,1660,Wales Interactive,2024-02-04,8.99,"['Horror', 'Adventure']",https://store.playstation.com/en-us/concept/223983
Disney•Pixar Buzz Lightyear of Star Command,"['PS4', 'PS5']",3.84,351,Disney Interactive Studios,2023-12-19,5.99,"['Action', 'Adventure']",https://store.playstation.com/en-us/concept/10007631
Birthdays the Beginning,['PS4'],4.04,715,NIS America Inc.,2017-05-09,39.99,['Strategy'],https://store.playstation.com/en-us/concept/221875
Prison Boss VR,['PS4'],4.11,502,Trebuchet Studio Inc.,2018-12-04,19.99,['Simulation'],https://store.playstation.com/en-us/concept/232454
Faeria: Premium Bundle,['PS4'],3.73,93,"VERSUS EVIL, LLC.",2020-11-03,59.99,['Unique'],https://store.playstation.com/en-us/concept/233577
The Angry 4,['PS5'],2.99,68,4 GLADIATORS,2021-08-29,14.49,"['Arcade', 'Family']",https://store.playstation.com/en-us/concept/10003561
SteamWorld Dig,['PS4'],4.22,27185,Thunderful Publishing AB,2014-03-18,0.99,"['Action', 'Adventure', 'Action']",https://store.playstation.com/en-us/concept/204198
Construction Simulator 2 US - Console Edition,['PS4'],3.94,1441,astragon Entertainment GmbH,2018-09-12,14.99,[],https://store.playstation.com/en-us/concept/231259
Drawful 2,['PS4'],4.09,335,Jackbox Games,2016-06-21,9.99,"['Casual', 'Family', 'Party']",https://store.playstation.com/en-us/concept/217001
THE ORIGIN: Blind Maid,"['PS4', 'PS5']",3.37,46,WARANÍ STUDIOS,2024-05-10,19.99,"['Horror', 'Action', 'Adult']",https://store.playstation.com/en-us/concept/10003045
Gigantosaurus: Dino Kart,"['PS4', 'PS5']",2.33,3,Outright Games LLC,2023-02-17,17.99,"['Family', 'Action', 'Driving/Racing']",https://store.playstation.com/en-us/concept/10003931
Ships Simulator,['PS4'],2.1,97,ULTIMATE GAMES,2023-11-30,14.99,"['Strategy', 'Simulator']",https://store.playstation.com/en-us/concept/10009506
DOOM II (Classic),['PS4'],4.66,3176,Bethesda Softworks,2019-07-26,4.99,"['Action', 'Shooter']",https://store.playstation.com/en-us/concept/233883
Cyberdimension Neptunia: 4 Goddesses Online,['PS4'],4.63,2026,Idea Factory International Inc.,2017-10-24,29.99,"['Action', 'Role Playing Games']",https://store.playstation.com/en-us/concept/225256
Deep Sky Derelicts: Definitive Edition,['PS4'],4.09,204,Fulqrum Publishing Ltd.,2020-03-24,4.99,['Role Playing Games'],https://store.playstation.com/en-us/concept/234007
Touhou: New World PS4 & PS5,"['PS4', 'PS5']",4.56,88,Marvelous USA (XSEED),2023-09-12,24.99,"['Adventure', 'Role Playing Games', 'Action']",https://store.playstation.com/en-us/concept/10008539
Heroine Anthem Zero 2 : Scalescars Oath,['PS5'],4.25,65,WINKING SKYWALKER ENTERTAINMENT LIMITED,2024-02-22,39.99,"['Action', 'Adventure', 'Role Playing Games']",https://store.playstation.com/en-us/concept/10001779
Moonscars,"['PS4', 'PS5']",4.14,1104,Humble Games,2022-09-27,19.99,['Action'],https://store.playstation.com/en-us/concept/10005567
Degrees of Separation,['PS4'],4.19,412,Maximum Entertainment,2019-02-14,19.99,"['Adventure', 'Arcade', 'Action']",https://store.playstation.com/en-us/concept/233493
Dakar 18,['PS4'],3.57,1086,Deep Silver,2018-10-26,3.74,['Driving/Racing'],https://store.playstation.com/en-us/concept/231860
Sky Gamblers - Air Supremacy 2,['PS4'],3.59,46,ATYPICAL GAMES SRL,2022-03-24,29.99,['Simulation'],https://store.playstation.com/en-us/concept/10004082
Crime Secrets: Crimson Lily,"['PS4', 'PS5']",3.61,54,Artifex Mundi,2022-12-16,0.0,"['Adventure', 'Casual', 'Puzzle']",https://store.playstation.com/en-us/concept/10006541
Citadel: Forged with Fire,['PS4'],3.69,764,Blue Isle Studios,2019-11-01,39.99,[],https://store.playstation.com/en-us/concept/228689
Loretta,['PS5'],4.53,30,DANGEN ENTERTAINMENT,2024-04-11,14.99,"['Adventure', 'Adventure']",https://store.playstation.com/en-us/concept/10005653
Kona,"['PS4', 'PS5']",4.15,1465,Deep Silver,2021-12-07,1.49,"['Adventure', 'Adventure', 'Adventure']",https://store.playstation.com/en-us/concept/227161
Blaze and the Monster Machines: Axle City Racers,['PS4'],3.67,49,Outright Games LLC,2021-10-01,39.99,"['Family', 'Driving/Racing']",https://store.playstation.com/en-us/concept/10001868
Kitaria Fables,"['PS4', 'PS5']",4.09,278,PQUBE LTD,2021-09-02,19.99,"['Role Playing Games', 'Role Playing Games']",https://store.playstation.com/en-us/concept/10001835
Placid Plastic Duck Simulator,"['PS4', 'PS5']",4.67,134,Tunnel Vision srl,2023-06-27,8.99,['Simulator'],https://store.playstation.com/en-us/concept/10008294
DARQ Ultimate Edition,"['PS4', 'PS5']",4.36,28,Feardemic,2022-11-10,24.49,"['Action', 'Puzzle']",https://store.playstation.com/en-us/concept/10005528
Demon Turf,"['PS4', 'PS5']",4.61,67,PLAYTONIC LTD,2021-11-04,24.99,['Action'],https://store.playstation.com/en-us/concept/10002215
AFFECTED: The Manor - Complete Edition PS4 & PS5,"['PS4', 'PS5']",3.97,641,Fallen Planet Studios LTD,2023-12-15,9.99,"['Casual', 'Horror']",https://store.playstation.com/en-us/concept/231205
POCOYO PARTY,['PS4'],3.45,113,Recotechnology S.L.,2021-04-15,29.99,['Party'],https://store.playstation.com/en-us/concept/10001062
"Cook, Serve, Delicious! 3?!","['PS4', 'PS5']",4.4,68,VERTIGO GAMING,2024-04-25,19.99,"['Action', 'Simulation', 'Strategy']",https://store.playstation.com/en-us/concept/10001180
Cryptark,['PS4'],4.32,348,Alientrap Games Inc,2017-06-27,2.99,"['Action', 'Shooter']",https://store.playstation.com/en-us/concept/228984
Peaky Blinders: The King's Ransom Complete Edition,['PS5'],3.28,167,Maze Theory,2023-11-02,19.99,['Adventure'],https://store.playstation.com/en-us/concept/10001198
Obduction ®,['PS4'],4.23,677,"Cyan, Inc.",2017-08-29,29.99,"['Adventure', 'Puzzle', 'Shooter']",https://store.playstation.com/en-us/concept/228818
Bud Spencer & Terence Hill - Slaps And Beans 2,"['PS4', 'PS5']",4.59,182,ININ,2023-09-22,19.99,['Action'],https://store.playstation.com/en-us/concept/10008170
Ruinverse,"['PS4', 'PS5']",4.32,63,KEMCO,2021-04-01,14.99,['Role Playing Games'],https://store.playstation.com/en-us/concept/10001808
Cthulhu Saves Christmas,['PS5'],4.31,13,"Mighty Rabbit Studios, Inc.",2021-07-14,4.99,['Role Playing Games'],https://store.playstation.com/en-us/concept/10001910
Lonely Mountains: Downhill,['PS4'],4.23,987,Thunderful Publishing AB,2019-10-23,5.99,"['Action', 'Sport']",https://store.playstation.com/en-us/concept/234290
Spirit of the North,['PS4'],4.42,1237,Infuse Studio LLC,2019-11-01,19.99,"['Action', 'Adventure', 'Action']",https://store.playstation.com/en-us/concept/232707
Accident,['PS4'],3.62,45,Duality S.A.,2022-12-09,14.99,['Simulation'],https://store.playstation.com/en-us/concept/10004775
Rise of the Third Power,['PS4'],4.52,181,DANGEN ENTERTAINMENT,2022-02-10,19.99,"['Adventure', 'Role Playing Games']",https://store.playstation.com/en-us/concept/10003083
Terraformers,"['PS4', 'PS5']",3.8,89,Klabater,2023-09-26,24.99,['Strategy'],https://store.playstation.com/en-us/concept/10008315
Rocket Rumble,['PS5'],3.67,3,PixelNAUTS,2024-05-23,23.99,"['Casual', 'Family', 'Party']",https://store.playstation.com/en-us/concept/10003836
The TakeOver,['PS4'],4.47,332,DANGEN ENTERTAINMENT,2021-05-20,19.99,"['Action', 'Arcade', 'Arcade']",https://store.playstation.com/en-us/concept/234852
Rabbids® Invasion Gold Edition,['PS4'],3.9,7280,Ubisoft Entertainment,2014-12-02,34.99,[],https://store.playstation.com/en-us/concept/203654
Nitroplus Blasterz: Heroines Infinite Duel,['PS4'],4.36,1626,Marvelous USA (XSEED),2016-02-02,19.99,['Fighting'],https://store.playstation.com/en-us/concept/203068
The Dungeon of Naheulbeuk: The Amulet of Chaos - Chicken Edition,"['PS4', 'PS5']",4.45,170,Dear Villagers,2021-12-03,39.99,['Role Playing Games'],https://store.playstation.com/en-us/concept/10000689
Hiveswap Friendsim,"['PS4', 'PS5']",4.69,13,SURPRISE ATTACK DBA FELLOW TRAVELLER GAMES,2023-12-07,14.99,"['Adventure', 'Simulator']",https://store.playstation.com/en-us/concept/10005271
Memorrha,"['PS4', 'PS5']",3.44,9,Markt+Technik Verlag GmbH,2023-10-26,7.99,['Adventure'],https://store.playstation.com/en-us/concept/10008562
G-Police,"['PS4', 'PS5']",4.27,131,Sony Interactive Entertainment,2024-05-21,9.99,['Action'],https://store.playstation.com/en-us/concept/10008137
Stilt,['PS5'],4.57,67,VRKiwi,2024-03-08,19.99,"['Action', 'Adventure', 'Party']",https://store.playstation.com/en-us/concept/10009077
Styx: Master of Shadows,['PS4'],4.0,34595,NACON SA,2014-10-07,19.99,"['Action', 'Adventure', 'Role Playing Games']",https://store.playstation.com/en-us/concept/204173
The Forgotten City,"['PS4', 'PS5']",4.63,1490,Dear Villagers,2021-07-28,29.99,['Adventure'],https://store.playstation.com/en-us/concept/10002458
Tools Up! - Ultimate Edition,['PS4'],3.13,16,Untold Tales S.A.,2024-01-26,34.99,['Party'],https://store.playstation.com/en-us/concept/10009275
Bound by Flame™,['PS4'],3.64,5975,Focus Entertainment,2014-05-06,1.99,"['Action', 'Role Playing Games', 'Role Playing Games']",https://store.playstation.com/en-us/concept/200572
Across the Valley,['PS5'],3.13,47,FusionPlay GmbH,2023-04-06,19.99,"['Family', 'Casual', 'Simulation']",https://store.playstation.com/en-us/concept/10007333
THE CASINO COLLECTION,['PS4'],3.22,99,D3PUBLISHER,2021-06-03,4.39,['Casual'],https://store.playstation.com/en-us/concept/10001964
Builder Simulator,['PS4'],3.52,119,Frozen Way S.A.,2023-10-09,24.99,"['Casual', 'Simulator']",https://store.playstation.com/en-us/concept/10008859
Cogen: Sword of Rewind,['PS4'],4.32,104,"GEMDROPS, INC.",2022-01-27,24.99,['Action'],https://store.playstation.com/en-us/concept/10001199
N Plus Plus (N++),['PS4'],4.61,1955,Metanet Software Inc.,2015-07-28,14.99,"['Action', 'Puzzle', 'Action']",https://store.playstation.com/en-us/concept/202957
ForeVR Pool,['PS5'],3.65,86,ForeVR Games Inc.,2023-11-30,19.99,['Sport'],https://store.playstation.com/en-us/concept/10008662
Until Dawn: Rush of Blood,['PS4'],4.26,18123,Sony Interactive Entertainment,2016-10-10,14.99,"['Horror', 'Shooter']",https://store.playstation.com/en-us/concept/220134
ZONE OF THE ENDERS: The 2nd Runner - M∀RS,['PS4'],4.69,1465,"Konami Digital Entertainment, Inc.",2018-09-04,29.99,['Action'],https://store.playstation.com/en-us/concept/232440
Kaze and the Wild Masks,['PS4'],4.58,332,SOEDESCO Publishing,2021-03-26,19.99,"['Adventure', 'Arcade']",https://store.playstation.com/en-us/concept/234990
AER - Memories of Old,['PS4'],4.14,1046,DAEDALIC ENTERTAINMENT GMBH,2017-10-25,1.49,"['Action', 'Adventure']",https://store.playstation.com/en-us/concept/221834
Dungeon Munchies,"['PS4', 'PS5']",4.39,114,Chorus Worldwide Games,2023-01-13,16.99,"['Action', 'Role Playing Games']",https://store.playstation.com/en-us/concept/10004188
Puzzle Journey,['PS4'],3.85,707,ERIK GAMES YAZILIM OYUN TEKNOLOJILERI TICARET ANONIM SIRKETI,2023-09-07,0.0,"['Educational', 'Puzzle', 'Puzzle']",https://store.playstation.com/en-us/concept/10009131
Buried Stars,['PS4'],4.67,126,LINE Games Corporation,2020-07-30,44.99,"['Unique', 'Adventure']",https://store.playstation.com/en-us/concept/232645
The Fox Awaits Me,['PS4'],4.23,30,"Sekai Project, Inc",2022-11-11,44.99,"['Horror', 'Adventure']",https://store.playstation.com/en-us/concept/10003249
Offroad Jeep Driving,['PS4'],1.0,2,CHETRUSCA SOFTWORKS S.R.L,2024-05-30,6.99,['Driving/Racing'],https://store.playstation.com/en-us/concept/10010923
Axiom Verge,['PS4'],4.73,9017,Thomas Happ Games LLC,2015-03-31,19.99,['Action'],https://store.playstation.com/en-us/concept/200132
Mr. Prepper,['PS4'],3.55,133,ULTIMATE GAMES,2022-03-24,15.49,"['Action', 'Casual', 'Simulation']",https://store.playstation.com/en-us/concept/10004262
Alchemist Simulator,['PS4'],2.77,31,Art Games Studio S.A.,2022-08-24,21.99,"['Adventure', 'Puzzle']",https://store.playstation.com/en-us/concept/10004539
CLANNAD,['PS4'],4.91,279,"PROTOTYPE CO., LTD.",2018-06-21,44.99,"['Adventure', 'Casual']",https://store.playstation.com/en-us/concept/200772
DOOM 3,['PS4'],4.45,3680,Bethesda Softworks,2019-07-26,9.99,"['Action', 'Shooter']",https://store.playstation.com/en-us/concept/234453
METAL MAX Xeno Reborn,['PS4'],3.36,281,PQUBE LTD,2022-06-10,39.99,['Role Playing Games'],https://store.playstation.com/en-us/concept/235121
Laika: Aged Through Blood,"['PS4', 'PS5']",4.63,215,Headup Games GmbH & Co. KG,2023-12-05,19.99,"['Adventure', 'Action']",https://store.playstation.com/en-us/concept/10008824
D-Day Enhanced,"['PS4', 'PS5']",3.74,1143,"Strange Games Studios, Inc.",2024-01-23,14.99,"['Shooter', 'Action']",https://store.playstation.com/en-us/concept/232211
It's Quiz Time,['PS4'],3.53,297,Vision Games Publishing,2017-11-28,19.99,"['Casual', 'Casual', 'Quiz']",https://store.playstation.com/en-us/concept/227376
Smurfs Kart,"['PS4', 'PS5']",4.07,41,Microids,2023-08-10,29.99,['Driving/Racing'],https://store.playstation.com/en-us/concept/10004796
Injection π23 'Ars Regia',['PS4'],3.21,28,Abramelin Games,2022-05-23,29.99,"['Horror', 'Adventure', 'Puzzle']",https://store.playstation.com/en-us/concept/10001914
AK-xolotl,"['PS4', 'PS5']",3.71,201,PlayStack Limited,2023-09-14,18.99,"['Shooter', 'Action']",https://store.playstation.com/en-us/concept/10008182
Source of Madness,"['PS4', 'PS5']",3.43,579,Thunderful Publishing AB,2022-05-11,6.99,['Action'],https://store.playstation.com/en-us/concept/10004688
One Last Breath,"['PS4', 'PS5']",4.09,22,CATNESS GAME STUDIOS SL,2024-03-28,17.99,['Adventure'],https://store.playstation.com/en-us/concept/10009067
Capcom Beat 'Em Up Bundle,['PS4'],4.65,2053,"Capcom U.S.A., Inc.",2018-09-18,19.99,"['Action', 'Arcade', 'Fighting']",https://store.playstation.com/en-us/concept/232069
KILL la KILL - IF,['PS4'],4.54,1469,ARC SYSTEM WORKS,2019-07-26,19.99,[],https://store.playstation.com/en-us/concept/232538
Mineko's Night Market,"['PS4', 'PS5']",3.81,53,Humble Games,2023-10-26,19.99,['Unique'],https://store.playstation.com/en-us/concept/229969
Puyo Puyo™Tetris®,['PS4'],4.19,465,"SEGA of America, Inc.",2019-03-08,19.99,['Puzzle'],https://store.playstation.com/en-us/concept/203250
The Good Life,['PS4'],4.33,83,PLAYISM,2021-10-15,39.99,['Role Playing Games'],https://store.playstation.com/en-us/concept/10003436
Danganronpa Another Episode: Ultra Despair Girls,['PS4'],4.61,1293,"Spike Chunsoft, Inc.",2017-06-27,29.99,"['Action', 'Action']",https://store.playstation.com/en-us/concept/201142
Terror of Hemasaurus,['PS4'],4.59,58,Loren David Lemcke Jr. trading as Games By Loren Lemcke,2022-12-07,14.99,['Action'],https://store.playstation.com/en-us/concept/10006292
Shadow the Ronin: The Revenge to the Samurai,['PS4'],2.45,121,LGS Productions,2020-01-28,14.99,"['Action', 'Casual', 'Adventure']",https://store.playstation.com/en-us/concept/234310
Forklift 2024 - The Simulation,"['PS4', 'PS5']",2.19,57,DANIEL WENGENROTH,2023-05-25,14.99,"['Driving/Racing', 'Simulation', 'Simulator']",https://store.playstation.com/en-us/concept/10008200
Pro Fishing Simulator,['PS4'],2.69,372,NACON SA,2019-02-05,9.99,"['Simulation', 'Sport', 'Simulator']",https://store.playstation.com/en-us/concept/232233
Weird West: Definitive Edition,"['PS4', 'PS5']",3.98,4234,Devolver Digital,2023-05-08,39.99,"['Action', 'Role Playing Games']",https://store.playstation.com/en-us/concept/234916
Paraiso Island,['PS4'],3.16,12585,Arcade Distillery,2019-03-05,0.0,"['Family', 'Unique', 'Role Playing Games']",https://store.playstation.com/en-us/concept/232965
Everhood: Eternity Edition,"['PS4', 'PS5']",4.88,105,"BlitWorks Publishing, S.L.",2023-09-28,12.99,"['Adventure', 'Music/Rhythm']",https://store.playstation.com/en-us/concept/10005887
Heroes of Hammerwatch - Ultimate Edition,['PS4'],4.67,146,BlitWorks,2020-12-01,19.99,"['Action', 'Adventure', 'Role Playing Games']",https://store.playstation.com/en-us/concept/232806
Thirsty Suitors,"['PS4', 'PS5']",4.63,76,Annapurna Interactive,2023-11-02,29.99,['Adventure'],https://store.playstation.com/en-us/concept/10004698
AUDICA™,['PS4'],4.52,220,"Harmonix Music Systems, Inc",2019-11-05,29.99,"['Casual', 'Music/Rhythm', 'Shooter']",https://store.playstation.com/en-us/concept/235074
Gargoyles Remastered,['PS4'],3.8,75,Disney Interactive Studios,2023-10-19,14.99,['Action'],https://store.playstation.com/en-us/concept/10005121
Big Buck Hunter Arcade,['PS4'],2.81,278,GAMEMILL ENTERTAINMENT,2016-10-25,19.99,"['Action', 'Arcade', 'Shooter']",https://store.playstation.com/en-us/concept/221666
WARTILE,['PS4'],4.29,152,Deck13 Interactive GmbH,2020-03-24,19.99,"['Strategy', 'Strategy', 'Role Playing Games']",https://store.playstation.com/en-us/concept/231908
Ikonei Island: An Earthlock Adventure,['PS4'],4.4,25,Snow Castle AS,2024-03-21,24.99,"['Adventure', 'Casual', 'Family']",https://store.playstation.com/en-us/concept/10008361
Beyond Blue,['PS4'],4.35,703,E-Line Media,2020-06-11,19.99,"['Adventure', 'Casual', 'Family']",https://store.playstation.com/en-us/concept/10000315
TOSS!,['PS5'],4.36,123,Vertigo Games B.V,2023-09-07,11.99,['Action'],https://store.playstation.com/en-us/concept/10008232
Curious Expedition,['PS4'],4.42,131,Thunderful Publishing AB,2020-03-31,2.99,['Adventure'],https://store.playstation.com/en-us/concept/234286
The Bookwalker: Thief of Tales,"['PS4', 'PS5']",4.52,69,tinyBuild GAMES,2023-06-22,14.99,"['Action', 'Adventure', 'Puzzle']",https://store.playstation.com/en-us/concept/10006179
House Builder,['PS4'],3.62,250,PlayWay plc,2022-07-15,14.99,"['Action', 'Casual', 'Simulator']",https://store.playstation.com/en-us/concept/10005439
Rough Justice: '84,"['PS4', 'PS5']",3.39,18,DAEDALIC ENTERTAINMENT GMBH,2023-12-20,14.99,['Strategy'],https://store.playstation.com/en-us/concept/10008318
Mounted Knights Battle : Medieval Warrior Honor Simulator,['PS4'],1.91,11,GameToTop Corporation LTD,2024-05-16,14.99,"['Adventure', 'Fighting', 'Simulator']",https://store.playstation.com/en-us/concept/10010623
United Assault - Normandy '44,"['PS4', 'PS5']",2.38,93,DANIEL WENGENROTH,2024-03-21,14.99,['Shooter'],https://store.playstation.com/en-us/concept/10002139
Shadow Complex Remastered,['PS4'],4.58,1510,Epic Games,2016-05-03,14.99,[],https://store.playstation.com/en-us/concept/216508
Haunted House,"['PS4', 'PS5']",3.97,39,Atari Inc.,2023-10-12,19.99,"['Horror', 'Adventure']",https://store.playstation.com/en-us/concept/10005049
Violet Wisteria PS4 & PS5,"['PS4', 'PS5']",4.27,11,EastAsiaSoft,2024-03-13,10.49,"['Action', 'Action', 'Adventure']",https://store.playstation.com/en-us/concept/10009679
Emily Wants To Play,['PS4'],4.04,2393,SKH Apps LLC,2016-08-09,4.99,"['Action', 'Horror', 'Puzzle']",https://store.playstation.com/en-us/concept/217065
Yatzi,"['PS4', 'PS5']",3.55,20,Markt+Technik Verlag GmbH,2023-12-02,19.99,"['Brain Training', 'Casual', 'Family']",https://store.playstation.com/en-us/concept/10008888
Paranormal Activity: The Lost Soul,['PS4'],4.04,1301,"VRWERX, LLC",2017-08-15,29.99,['Horror'],https://store.playstation.com/en-us/concept/225331
Blue Angels Aerobatic Flight Simulator,['PS4'],3.39,132,RORTOS SRL,2017-11-28,14.99,[],https://store.playstation.com/en-us/concept/228929
Never Alone (Kisima Ingitchuna),['PS4'],4.24,39029,E-Line Media,2014-11-18,14.99,"['Action', 'Adventure']",https://store.playstation.com/en-us/concept/202994
Brunswick Pro Billiards,['PS4'],3.02,66,FarSight Technologies Inc.,2020-12-22,19.99,['Unique'],https://store.playstation.com/en-us/concept/10000239
XEL,"['PS4', 'PS5']",2.69,42,ASSEMBLE ENTERTAINMENT GMBH,2023-04-21,18.99,['Action'],https://store.playstation.com/en-us/concept/10003097
Army of Ruin,"['PS4', 'PS5']",4.79,368,MILKSTONE STUDIOS SL,2023-06-15,7.99,"['Action', 'Casual']",https://store.playstation.com/en-us/concept/10006227
Hidden Through Time 2: Myths & Magic,['PS5'],4.41,49,ROGUESIDE,2024-01-25,12.99,"['Puzzle', 'Casual']",https://store.playstation.com/en-us/concept/10009130
Goosebumps Dead of Night,['PS4'],4.05,123,"COSMIC FORCES, INC.",2020-06-29,19.99,"['Action', 'Adventure', 'Puzzle']",https://store.playstation.com/en-us/concept/235389
Exit the Gungeon,['PS4'],4.35,260,Devolver Digital,2020-11-13,9.99,"['Adventure', 'Action']",https://store.playstation.com/en-us/concept/10000263
Banner Saga 1,['PS4'],4.58,3604,Stoic LLC,2016-01-12,24.49,"['Role Playing Games', 'Role Playing Games', 'Strategy']",https://store.playstation.com/en-us/concept/204587
Survivorman VR The Descent,['PS5'],3.17,30,VRKiwi,2024-02-15,19.99,"['Adventure', 'Puzzle', 'Simulator']",https://store.playstation.com/en-us/concept/10009240
Doodle God: Evolution,['PS4'],3.66,61,JOYBITS LIMITED,2020-10-15,9.99,"['Puzzle', 'Casual', 'Family']",https://store.playstation.com/en-us/concept/235296
The Valiant,['PS5'],3.73,44,THQ Nordic,2023-07-11,24.99,['Strategy'],https://store.playstation.com/en-us/concept/10001483
Hidden Through Time,['PS4'],4.42,235,ROGUESIDE,2020-03-12,7.99,['Puzzle'],https://store.playstation.com/en-us/concept/10000207
Lost Grimoires 3: The Forgotten Well,"['PS4', 'PS5']",4.35,85,Artifex Mundi,2021-07-16,0.0,"['Adventure', 'Casual', 'Puzzle']",https://store.playstation.com/en-us/concept/10003220
Operation Wolf Returns: First Mission VR,"['PS4', 'PS5']",3.75,104,Microids,2023-07-13,29.99,['Shooter'],https://store.playstation.com/en-us/concept/10004500
Super Street: The Game,['PS4'],2.81,1038,Lion Castle B.V.,2018-09-11,24.99,['Driving/Racing'],https://store.playstation.com/en-us/concept/232042
King of Seas,['PS4'],3.37,385,Team17 Software Ltd.,2021-05-25,24.99,"['Action', 'Role Playing Games']",https://store.playstation.com/en-us/concept/10002658
Arashi: Castles of Sin,['PS4'],4.11,62,"ENDEAVOR ONE, INC.",2021-08-10,29.99,['Action'],https://store.playstation.com/en-us/concept/10002916
Insomnis,"['PS4', 'PS5']",4.05,137,Path Games,2022-05-31,19.99,"['Horror', 'Adventure']",https://store.playstation.com/en-us/concept/234750
Agents of Mayhem,['PS4'],4.2,3003,Deep Silver,2017-08-15,19.99,"['Action', 'Action']",https://store.playstation.com/en-us/concept/211321
Bridge Constructor Portal,['PS4'],4.29,456,Headup Games GmbH & Co. KG,2018-03-01,1.49,['Simulation'],https://store.playstation.com/en-us/concept/230115
Gleamlight,['PS4'],3.09,110,D3PUBLISHER,2020-08-20,3.99,['Adventure'],https://store.playstation.com/en-us/concept/10000292
