title,platforms,rating,votes,developer,release_date,price,genres,url
UFC® 5,['PS5'],2.99,8047,Electronic Arts Inc,2023-10-26,38.49,['Fighting'],https://store.playstation.com/en-us/concept/10002788
Overwatch 2 – Season 10: Venture Forth,"['PS4', 'PS5']",4.28,196709,"Blizzard Entertainment, Inc.",2022-10-04,0.0,"['Shooter', 'Action', 'Shooter']",https://store.playstation.com/en-us/concept/216627
Cyberpunk 2077,"['PS4', 'PS5']",4.36,104133,CD PROJEKT SA,2022-02-15,29.99,['Unique'],https://store.playstation.com/en-us/concept/234567
The Sims™ 4,['PS4'],3.98,91519,Electronic Arts Inc,2017-11-17,0.0,"['Action', 'Simulation']",https://store.playstation.com/en-us/concept/228857
God of War Ragnarök,"['PS4', 'PS5']",4.84,80175,Sony Interactive Entertainment,2022-11-09,39.89,['Action'],https://store.playstation.com/en-us/concept/10001850
Rust Console Edition,['PS4'],3.67,20608,Double Eleven,2021-05-21,49.99,"['Shooter', 'Adventure', 'Action']",https://store.playstation.com/en-us/concept/233072
Warframe®,"['PS4', 'PS5']",4.34,667823,Digital Extremes,2020-11-26,0.0,"['Action', 'Shooter', 'Unique']",https://store.playstation.com/en-us/concept/205342
Grounded PS4® & PS5®,"['PS4', 'PS5']",4.67,2137,Microsoft Corporation,2024-04-16,27.99,['Adventure'],https://store.playstation.com/en-us/concept/10008048
War Thunder,"['PS4', 'PS5']",4.16,345484,Gaijin Distribution KFT,2020-11-17,0.0,"['Simulation', 'Action', 'Unique']",https://store.playstation.com/en-us/concept/205366
Rocket League®,['PS4'],4.36,1121426,Psyonix Inc,2015-07-07,0.0,"['Sport', 'Action', 'Driving/Racing']",https://store.playstation.com/en-us/concept/203715
Jujutsu Kaisen Cursed Clash PS4 & PS5,"['PS4', 'PS5']",3.51,3879,Bandai Namco Entertainment America Inc.,2024-02-02,41.99,"['Action', 'Fighting']",https://store.playstation.com/en-us/concept/10005862
STAR WARS Jedi: Survivor™,['PS5'],4.5,13580,Electronic Arts Inc,2023-04-28,31.49,['Action'],https://store.playstation.com/en-us/concept/10005114
NARUTO TO BORUTO: SHINOBI STRIKER,['PS4'],4.05,95279,Bandai Namco Entertainment America Inc.,2018-08-31,19.99,"['Action', 'Action']",https://store.playstation.com/en-us/concept/227447
The Last of Us™ Part II Remastered,"['PS4', 'PS5']",4.44,177708,Sony Interactive Entertainment,2024-01-19,39.99,"['Action', 'Adventure']",https://store.playstation.com/en-us/concept/230079
Ghost of Tsushima DIRECTOR’S CUT,"['PS4', 'PS5']",4.55,159302,Sony Interactive Entertainment,2021-08-20,69.99,['Role Playing Games'],https://store.playstation.com/en-us/concept/235227
NHL® 24 X-Factor Edition PS5™ & PS4™,"['PS4', 'PS5']",2.8,3012,Electronic Arts Inc,2023-10-03,99.99,['Sport'],https://store.playstation.com/en-us/concept/10006500
WORLD OF WARSHIPS: LEGENDS,"['PS4', 'PS5']",4.12,107009,Wargaming Group Ltd,2021-04-26,0.0,"['Action', 'Action', 'Shooter']",https://store.playstation.com/en-us/concept/232796
Marvel's Spider-Man Remastered,"['PS4', 'PS5']",4.7,210471,Sony Interactive Entertainment,2023-05-04,24.99,['Action'],https://store.playstation.com/en-us/concept/10000762
TEKKEN 8,['PS5'],4.59,9066,Bandai Namco Entertainment America Inc.,2024-01-25,69.99,"['Action', 'Fighting']",https://store.playstation.com/en-us/concept/10006270
The Crew™ Motorfest Standard Edition - Cross-Gen Bundle,"['PS4', 'PS5']",4.24,22700,Ubisoft Entertainment,2023-09-14,0.0,['Driving/Racing'],https://store.playstation.com/en-us/concept/10002313
SKULL AND BONES™,['PS5'],3.0,12341,Ubisoft Entertainment,2024-02-16,0.0,"['Action', 'Adventure']",https://store.playstation.com/en-us/concept/225700
Dragon's Dogma 2,['PS5'],4.09,21494,"Capcom U.S.A., Inc.",2024-03-22,69.99,"['Role Playing Games', 'Action']",https://store.playstation.com/en-us/concept/10005844
